emotion,tweet
Anger,Mayor Nene wag kang ganyan buong NCR suspended pero Las Pi_±as hindi? Anong po ang peg niyo?
Anger,"Dear ulan, di ka lang nabigyan ng pangalan, kailangan iiyak sa loob ng isang linggo? Di ka na bata. Okay? Grow up."
Anger,"RT @NgaNgaDre: Dear China, Diba mahilig naman kayong mang akin? Utang na loob, sa inyo na yung baha. Taos puso naming pinapamigay sa inyo."
Anger,@_YelynaWoo94 adik.nasa marikina kasi yun kaya ayun napasukan ng putik.badtrip!
Anger,RT @nonanochi @kyiepot kaya nga e #itsshowtime magpasikat sa panahon ng tag-ulan. Kainis kang kasama sa tag-ulan #Apple
Anger,Wala nanamang load x)  Sa sobrang baha sa labas wala nang bukas na tindahan -.-
Anger,MAYOR ANO BA!? SABI MO STATE OF CALAMITY ANG PASIG TAPOS HINDI KAMI SUSPENDED?! GULO AH! -__-
Anger,RT @Pakyuuuuuuu: Yung hindi ka makaalis sa sobrang lakas ng ulan.
Anger,"haist kainis baha... baha.... baha.... pero saya enjoy sa pag huli ng fish ""_"" .. adicted!!"
Anger,@IamMarianneG Tiis lang. Bwiset kasi yang ulan na yan e. Hahaha
Anger,"OMG. Trending nanaman ang #AcceptAndFollowMeJappo for God's sake. Tumila na nga ang ulan, di parin mamatay matay ang mga jejemon."
Anger,Bubuhos. Titila. Bubuhos. Titila. Bubuhos. Titila. Parang shunga lang yung ulan eh. -_-
Anger,"@aavel Kong isa kang sa nagtapon ng BASURA sa labas,wala kang karapatang magreklamo sa BAHA"
Anger,RT @IanaNicole16: @jamjes_ Baha pa din hanggang ngayon! XD
Anger,@jiaportic: Baha na naman inside!!!!! Hay nako kakalinis lang eh.
Anger,"Kung ganyan parin kalakas ang ulan bukas., hindi na ako papayagan sumama ulit sa volunteer work.. Ulan.. Pls., tumigil kana >.<"
Anger,"RT @ramonbautista: PAGASA, pangalanan nyo naman yang ulan/bagyo/habagat na yan para pwede natin murahin"
